epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7497,1.4199,4.06371,0.11156,22.8742,0.04038,0,0.03645,0.90939,0.8401,0.92076,0.4364,0.77245,0.7101,0.68494,0.3692,2.78418,0.31234,1.87788,2.38674,0.00411,0.76052,0.04878,0,0.01907,0.00016572,0.00016572,0.0670218
2,107.486,0.79511,0.81824,0.00715,0.24443,0.01981,0,0.01002,0.96899,0.94202,0.97702,0.76402,0.93386,0.90903,0.92179,0.7614,1.43766,0.70711,0.73347,0.78635,0.00157,0.3,0.01672,0,0.00845,0.000329096,0.000329096,0.0338518
3,1894.1,0.70342,0.45889,0.00789,0.20659,0.01713,0,0.00704,0.98811,0.98351,0.99389,0.81569,0.96631,0.96203,0.96612,0.84614,0.92373,0.77266,0.68721,0.6106,0.00159,0.21225,0.01575,0,0.00852,0.000489172,0.000489172,0.000678566
4,2016.84,0.63097,0.35652,0.00236,0.18422,0.01519,0,0.00617,0.98877,0.98565,0.99475,0.8056,0.97591,0.97906,0.98423,0.92528,0.65533,0.85787,0.66602,0.36608,0.00089,0.203,0.01481,0,0.00698,0.00048515,0.00048515,0.00048515
5,2140.28,0.60372,0.37604,0.00441,0.18009,0.01458,0,0.00572,0.98558,0.98728,0.99395,0.74234,0.96711,0.97337,0.97683,0.92423,0.82201,0.85577,0.86026,0.41317,0.00097,0.2488,0.01943,0,0.00595,0.0004802,0.0004802,0.0004802
6,2261.88,0.52581,0.28334,0.00378,0.15469,0.01283,0,0.00512,0.99275,0.99712,0.99485,0.7885,0.98382,0.98863,0.98483,0.95484,0.54844,0.91996,0.69275,0.25262,0.00116,0.19306,0.01607,0,0.00524,0.00047525,0.00047525,0.00047525
7,2385.81,0.47603,0.23071,0.00393,0.14924,0.01155,0,0.00474,0.99266,0.9912,0.99484,0.76629,0.97863,0.97868,0.9825,0.95787,0.52495,0.92867,0.82963,0.26121,0.00055,0.23435,0.01808,0,0.00502,0.0004703,0.0004703,0.0004703
8,2509.54,0.47332,0.21394,0.00574,0.14236,0.01148,0,0.0046,0.99335,0.98997,0.99485,0.89922,0.98734,0.98398,0.99147,0.97635,0.45673,0.9512,0.42377,0.19709,0.00077,0.13427,0.0093,0,0.00462,0.00046535,0.00046535,0.00046535
9,2632.54,0.44342,0.18951,0.00375,0.14035,0.01062,0,0.0047,0.99403,0.99067,0.99488,0.86475,0.99394,0.9859,0.98871,0.97488,0.46672,0.9491,0.50228,0.19823,0.00083,0.15297,0.01146,0,0.00463,0.0004604,0.0004604,0.0004604
10,2754.26,0.42395,0.14705,0.00347,0.13005,0.01029,0,0.00422,0.99193,0.99582,0.99488,0.85323,0.98095,0.98482,0.98532,0.97395,0.45238,0.95285,0.511,0.20565,0.00048,0.15344,0.01107,0,0.00441,0.00045545,0.00045545,0.00045545
11,2877.25,0.41833,0.18124,0.00356,0.13392,0.00999,0,0.0041,0.99683,0.99529,0.99495,0.85569,0.98073,0.9905,0.984,0.97453,0.43365,0.95976,0.49631,0.20183,0.00041,0.15124,0.01076,0,0.00421,0.0004505,0.0004505,0.0004505
12,2999.55,0.40601,0.17708,0.00348,0.13268,0.00986,0,0.00406,0.98918,0.99886,0.99485,0.90119,0.9783,0.99201,0.98921,0.97438,0.44792,0.95495,0.40852,0.19196,0.00042,0.12743,0.00897,0,0.00425,0.00044555,0.00044555,0.00044555
13,3121.24,0.40816,0.2303,0.00345,0.13166,0.00997,0,0.00411,0.99693,0.99429,0.9949,0.88606,0.9909,0.98829,0.99118,0.98184,0.41086,0.96396,0.45861,0.15361,0.0005,0.13566,0.01,0,0.0042,0.0004406,0.0004406,0.0004406
14,3244.31,0.38751,0.1269,0.00217,0.11721,0.00919,0,0.00377,0.99302,0.99488,0.9949,0.86716,0.98539,0.98697,0.98498,0.96974,0.57149,0.95998,0.47824,0.19749,0.00082,0.14406,0.01051,0,0.00417,0.00043565,0.00043565,0.00043565
15,3357.82,0.35767,0.13777,0.00615,0.11882,0.00861,0,0.0037,0.98835,0.99701,0.99492,0.87146,0.98241,0.99101,0.98516,0.98164,0.41247,0.96952,0.49834,0.16718,0.00079,0.15127,0.01083,0,0.00398,0.0004307,0.0004307,0.0004307
16,3408.2,0.35706,0.14899,0.00556,0.11359,0.00864,0,0.00378,0.99686,0.998,0.995,0.90298,0.98837,0.98951,0.98522,0.97999,0.38027,0.97305,0.40799,0.16124,0.00051,0.12897,0.00893,0,0.00379,0.00042575,0.00042575,0.00042575
17,3460.71,0.35981,0.14503,0.003,0.11471,0.00872,0,0.00375,0.99355,1,0.995,0.89357,0.98217,0.989,0.98511,0.97867,0.39634,0.96982,0.43359,0.16465,0.00065,0.1298,0.00927,0,0.00385,0.0004208,0.0004208,0.0004208
18,3511.04,0.352,0.1696,0.00284,0.1111,0.00849,0,0.00379,0.999,0.99878,0.99499,0.87884,0.9955,0.9953,0.99396,0.98841,0.37895,0.97395,0.46798,0.13907,0.00062,0.13416,0.00995,0,0.00398,0.00041585,0.00041585,0.00041585
19,3563.54,0.35349,0.11554,0.00344,0.10806,0.00838,0,0.00359,0.99955,0.9987,0.995,0.92089,0.99603,0.99521,0.99407,0.98692,0.36137,0.97492,0.36689,0.13411,0.00061,0.11062,0.00799,0,0.00384,0.0004109,0.0004109,0.0004109
20,3613.2,0.34089,0.1316,0.00194,0.11188,0.00813,0,0.00355,0.99937,0.99519,0.995,0.83384,0.99233,0.98821,0.98427,0.97719,0.38378,0.96854,0.53187,0.16179,0.00083,0.15292,0.01163,0,0.00394,0.00040595,0.00040595,0.00040595
21,3663.58,0.336,0.10953,0.00409,0.10343,0.00808,0,0.00348,0.999,0.99639,0.995,0.88203,0.99298,0.99039,0.9862,0.98044,0.38488,0.96899,0.47889,0.1556,0.00063,0.1394,0.01019,0,0.00385,0.000401,0.000401,0.000401
22,3712.95,0.35072,0.12898,0.00345,0.11404,0.00834,0,0.00354,0.99488,0.99133,0.99488,0.88988,0.98883,0.98535,0.98522,0.97848,0.36768,0.97245,0.43836,0.15038,0.00084,0.13135,0.00954,0,0.0038,0.00039605,0.00039605,0.00039605
