epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
1,25.684,1.85171,6.23494,0.25961,53.9611,0.05427,0,0.05374,0.39941,0.76034,0.39717,0.06792,0.25,0.45147,0.16897,0.0219,7.93455,0.05931,3.08456,4.62878,0.00725,3.21746,0.10616,0,0.05583,0.000328638,0.000328638,0.0674648
2,50.1451,0.82567,1.10556,0.00568,0.31873,0.02039,0,0.01612,0.92361,0.85736,0.94258,0.4499,0.58172,0.66315,0.59657,0.25265,2.25895,0.21448,1.68492,2.2686,0.00151,0.53008,0.04379,0,0.02052,0.000648865,0.000648865,0.0344517
3,77.0905,0.7267,0.65034,0.00303,0.27273,0.01783,0,0.00898,0.93521,0.83514,0.9541,0.56218,0.75431,0.69224,0.73528,0.39563,2.03491,0.39434,1.25866,1.77665,0.00131,0.54709,0.03095,0,0.01062,0.000955891,0.000955891,0.00142537
4,102.907,0.67824,0.42584,0.00766,0.2263,0.01649,0,0.00652,0.89107,0.75157,0.90356,0.49133,0.85828,0.72528,0.82022,0.51452,3.74982,0.41956,1.52033,1.66901,0.00211,0.75056,0.03722,0,0.01085,0.0009406,0.0009406,0.0009406
5,128.788,0.61337,0.33647,0.00302,0.25421,0.01469,0,0.00576,0.98077,0.96217,0.99037,0.74128,0.95084,0.937,0.95397,0.72377,0.76255,0.80819,0.75911,0.52181,0.00096,0.25467,0.01735,0,0.00678,0.0009208,0.0009208,0.0009208
6,154.399,0.56907,0.30453,0.00237,0.19634,0.0138,0,0.00565,0.97047,0.94383,0.97871,0.5982,0.95516,0.95109,0.97397,0.85343,0.82475,0.84211,1.35128,0.37884,0.00059,0.38936,0.03189,0,0.0066,0.000901,0.000901,0.000901
7,179.169,0.56337,0.35152,0.00268,0.18788,0.01365,0,0.00533,0.98989,0.9807,0.99402,0.71096,0.9829,0.95848,0.9778,0.8942,0.6368,0.90027,0.83822,0.32273,0.0007,0.23375,0.01918,0,0.00629,0.0008812,0.0008812,0.0008812
8,205.531,0.50997,0.23807,0.00068,0.18214,0.01219,0,0.00479,0.99587,0.9557,0.99295,0.78497,0.97647,0.9688,0.99131,0.93859,0.53388,0.91758,0.66861,0.22206,0.00071,0.21518,0.01436,0,0.00509,0.0008614,0.0008614,0.0008614
9,230.659,0.47669,0.17258,0.0046,0.1502,0.01129,0,0.00431,0.98498,0.98181,0.99406,0.86602,0.9789,0.97571,0.99309,0.93708,0.4813,0.93612,0.447,0.19319,0.00066,0.15457,0.00969,0,0.00469,0.0008416,0.0008416,0.0008416
10,255.798,0.47414,0.19479,0.00323,0.16232,0.01123,0,0.00457,0.97911,0.94221,0.98929,0.77653,0.9357,0.91897,0.96252,0.87189,0.71097,0.8849,0.58267,0.34693,0.00062,0.22327,0.01301,0,0.00495,0.0008218,0.0008218,0.0008218
11,281.403,0.45087,0.19485,0.00449,0.15397,0.01072,0,0.0043,0.959,0.97836,0.99061,0.74687,0.94314,0.96219,0.97966,0.91475,0.62756,0.9095,0.69485,0.31474,0.00063,0.22968,0.01576,0,0.00484,0.000802,0.000802,0.000802
12,306.121,0.41859,0.14467,0.00389,0.15158,0.00985,0,0.00409,0.99739,0.99221,0.99497,0.79887,0.99129,0.98611,0.99356,0.9395,0.4873,0.93665,0.65615,0.1944,0.00098,0.19923,0.01438,0,0.00442,0.0007822,0.0007822,0.0007822
13,332.188,0.40098,0.15754,0.00256,0.14811,0.00962,0,0.00388,0.99082,0.9807,0.98971,0.86138,0.98449,0.9746,0.98882,0.94101,0.68214,0.92716,0.43715,0.22507,0.00046,0.15059,0.00951,0,0.00456,0.0007624,0.0007624,0.0007624
14,357.206,0.38938,0.12902,0.00121,0.12455,0.00915,0,0.0039,0.98977,0.98859,0.99432,0.8382,0.97849,0.97739,0.98316,0.9557,0.43722,0.95484,0.46688,0.18086,0.00046,0.15003,0.01015,0,0.0045,0.0007426,0.0007426,0.0007426
15,382.986,0.37593,0.14341,0.00287,0.14404,0.00889,0,0.00375,0.988,0.99498,0.99487,0.82093,0.98702,0.99398,0.99412,0.91088,0.46354,0.92795,0.501,0.20608,0.00069,0.16318,0.01078,0,0.0046,0.0007228,0.0007228,0.0007228
16,409.052,0.36857,0.13161,0.00202,0.11822,0.00889,0,0.00391,0.99906,0.9861,0.99456,0.85688,0.98746,0.9746,0.98819,0.95878,0.41288,0.9602,0.44312,0.15685,0.00065,0.13447,0.00976,0,0.00403,0.000703,0.000703,0.000703
17,434.411,0.36287,0.15254,0.00219,0.12438,0.00872,0,0.00382,0.99647,0.98081,0.99457,0.80004,0.99547,0.97981,0.98877,0.94755,0.41201,0.96099,0.5175,0.16934,0.0004,0.15415,0.01142,0,0.00407,0.0006832,0.0006832,0.0006832
18,459.972,0.35342,0.11192,0.00219,0.11594,0.00832,0,0.00357,0.98849,0.97859,0.98945,0.84337,0.98226,0.97249,0.98693,0.95437,0.58926,0.95369,0.47736,0.18903,0.0005,0.14635,0.01032,0,0.00416,0.0006634,0.0006634,0.0006634
19,486.199,0.34279,0.10288,0.00214,0.11294,0.00807,0,0.00353,0.99061,0.99784,0.99485,0.82145,0.9903,0.99501,0.99385,0.95028,0.46541,0.9435,0.46632,0.18176,0.00042,0.13565,0.01026,0,0.00411,0.0006436,0.0006436,0.0006436
20,511.117,0.35228,0.12116,0.00669,0.11002,0.00841,0,0.00358,0.98799,0.99305,0.99467,0.86562,0.99366,0.96969,0.9933,0.97292,0.40623,0.96661,0.43903,0.16265,0.00082,0.13789,0.00951,0,0.00398,0.0006238,0.0006238,0.0006238
21,537.781,0.32635,0.12128,0.00232,0.12184,0.00772,0,0.00375,0.99336,0.9968,0.99495,0.85423,0.99737,0.98826,0.99408,0.97084,0.38229,0.96679,0.42727,0.13714,0.00083,0.13059,0.00956,0,0.00409,0.000604,0.000604,0.000604
22,563.596,0.34462,0.1203,0.00125,0.11566,0.00815,0,0.00387,0.99275,0.98892,0.99473,0.87899,0.99176,0.98793,0.99446,0.96364,0.44357,0.94631,0.38526,0.1726,0.00051,0.1248,0.0083,0,0.0041,0.0005842,0.0005842,0.0005842
23,588.711,0.31957,0.11703,0.00242,0.10641,0.00758,0,0.00344,0.99603,0.98198,0.99362,0.89272,0.98972,0.97596,0.99122,0.96812,0.40675,0.96213,0.36181,0.16152,0.00056,0.12011,0.0078,0,0.00395,0.0005644,0.0005644,0.0005644
24,614.379,0.32477,0.1239,0.00256,0.10891,0.00763,0,0.00354,0.98871,0.9831,0.99447,0.90096,0.98772,0.9821,0.99441,0.97428,0.3594,0.97355,0.3607,0.12232,0.00051,0.12325,0.00768,0,0.00379,0.0005446,0.0005446,0.0005446
25,640.081,0.30542,0.08924,0.00128,0.09876,0.00722,0,0.0034,0.98392,0.99074,0.99431,0.87685,0.98292,0.98974,0.99363,0.97896,0.34634,0.97619,0.40178,0.11677,0.00049,0.1274,0.00851,0,0.00369,0.0005248,0.0005248,0.0005248
26,665.882,0.31177,0.12175,0.00268,0.101,0.00742,0,0.00357,0.99164,1,0.995,0.90568,0.99066,0.999,0.99403,0.9825,0.3379,0.97663,0.34614,0.11001,0.00056,0.11028,0.00747,0,0.00365,0.000505,0.000505,0.000505
27,692.193,0.33174,0.10559,0.00256,0.13286,0.00794,0,0.00347,0.98994,0.99229,0.99475,0.90337,0.98895,0.99129,0.99392,0.98331,0.32969,0.98032,0.32336,0.10575,0.00032,0.10777,0.00698,0,0.00362,0.0004852,0.0004852,0.0004852
28,717.853,0.29663,0.08919,0.004,0.1049,0.00705,0,0.00341,0.99957,0.999,0.995,0.92608,0.99857,0.998,0.99417,0.98126,0.3323,0.97812,0.29043,0.10894,0.00055,0.09411,0.00628,0,0.00361,0.0004654,0.0004654,0.0004654
29,743.559,0.29732,0.09462,0.00194,0.10447,0.00717,0,0.00347,0.99802,0.99202,0.99498,0.90486,0.997,0.99102,0.99493,0.98124,0.3252,0.97882,0.34088,0.10553,0.00046,0.11253,0.00726,0,0.00364,0.0004456,0.0004456,0.0004456
30,768.796,0.28871,0.08531,0.00447,0.10124,0.00688,0,0.00339,0.98723,0.99168,0.9937,0.91872,0.98623,0.99068,0.99271,0.97816,0.3274,0.97839,0.30502,0.10667,0.00055,0.10314,0.00659,0,0.00356,0.0004258,0.0004258,0.0004258
31,793.637,0.2796,0.08704,0.00377,0.09618,0.0066,0,0.00347,0.9988,0.9902,0.99498,0.90686,0.99776,0.98921,0.99429,0.98427,0.32613,0.98058,0.35032,0.10491,0.00051,0.1186,0.00746,0,0.00361,0.000406,0.000406,0.000406
32,819.256,0.2612,0.0764,0.00219,0.08699,0.00622,0,0.00322,0.99591,1,0.995,0.91502,0.99492,0.999,0.99411,0.98431,0.32067,0.98155,0.29581,0.10145,0.00052,0.09271,0.00635,0,0.00357,0.0003862,0.0003862,0.0003862
33,844.497,0.28413,0.10649,0.00159,0.09433,0.00673,0,0.00335,0.99638,1,0.99497,0.92391,0.99539,0.999,0.99436,0.98285,0.33305,0.97821,0.3182,0.10652,0.00043,0.10009,0.00679,0,0.00357,0.0003664,0.0003664,0.0003664
34,869.756,0.27652,0.07283,0.00188,0.09792,0.00658,0,0.00316,0.97933,0.99401,0.99464,0.9129,0.9768,0.99652,0.99393,0.9855,0.32094,0.98032,0.30653,0.10408,0.0005,0.10355,0.00664,0,0.00363,0.0003466,0.0003466,0.0003466
35,895.933,0.26847,0.0938,0.00249,0.09407,0.00641,0,0.00322,0.99692,0.9929,0.99495,0.9152,0.99593,0.9919,0.99418,0.98388,0.32447,0.97812,0.2972,0.10373,0.00063,0.09652,0.00636,0,0.00356,0.0003268,0.0003268,0.0003268
36,921.291,0.26625,0.07306,0.00353,0.08845,0.00632,0,0.00311,0.99513,0.9939,0.99495,0.93568,0.99414,0.9929,0.99417,0.9828,0.31048,0.98146,0.27336,0.1011,0.00073,0.09021,0.00589,0,0.00342,0.000307,0.000307,0.000307
37,947.632,0.26667,0.07348,0.00227,0.09153,0.00631,0,0.00308,0.9973,0.999,0.995,0.92939,0.9963,0.998,0.99412,0.98499,0.30595,0.98208,0.28609,0.09723,0.00055,0.09146,0.0061,0,0.00341,0.0002872,0.0002872,0.0002872
38,972.913,0.25364,0.10467,0.00358,0.08518,0.00603,0,0.0035,0.98862,0.9895,0.99431,0.92716,0.98762,0.9885,0.99341,0.98405,0.30406,0.98181,0.27478,0.09381,0.00051,0.0949,0.00589,0,0.00339,0.0002674,0.0002674,0.0002674
39,998.289,0.24122,0.07209,0.00053,0.08446,0.00559,0,0.00318,0.9994,0.99656,0.995,0.92631,0.99839,0.99556,0.99414,0.98451,0.3124,0.98111,0.28565,0.10115,0.00047,0.09469,0.00614,0,0.00345,0.0002476,0.0002476,0.0002476
40,1023.92,0.2421,0.07378,0.00258,0.0847,0.00572,0,0.00312,0.999,0.99361,0.99495,0.92505,0.998,0.99261,0.99404,0.98129,0.31893,0.98076,0.28811,0.10212,0.00043,0.09201,0.00618,0,0.00344,0.0002278,0.0002278,0.0002278
41,1050.16,0.23491,0.06669,0.00163,0.08421,0.00554,0,0.00305,0.99438,0.99659,0.99495,0.9245,0.99338,0.99559,0.99401,0.98519,0.30191,0.98225,0.27266,0.09431,0.00038,0.094,0.00593,0,0.00341,0.000208,0.000208,0.000208
42,1075.88,0.23062,0.06241,0.00324,0.07872,0.00549,0,0.00295,0.99809,0.99841,0.995,0.93238,0.99709,0.99741,0.99405,0.98501,0.29549,0.9826,0.28651,0.09168,0.00036,0.08996,0.00619,0,0.00334,0.0001882,0.0001882,0.0001882
43,1102.66,0.23284,0.06982,0.00395,0.07711,0.00552,0,0.0031,0.999,0.98881,0.99461,0.92752,0.99801,0.98782,0.99383,0.98323,0.31082,0.98199,0.27963,0.0942,0.00045,0.09646,0.00602,0,0.00336,0.0001684,0.0001684,0.0001684
44,1127.67,0.21597,0.06746,0.00209,0.07207,0.00515,0,0.00306,0.99139,0.9968,0.99493,0.9347,0.99039,0.99581,0.994,0.98359,0.29817,0.98243,0.27686,0.0935,0.0004,0.09366,0.00588,0,0.00336,0.0001486,0.0001486,0.0001486
45,1153.22,0.22807,0.06464,0.0024,0.07824,0.00542,0,0.00301,0.9933,0.998,0.99485,0.93467,0.9923,0.99701,0.99415,0.98524,0.29585,0.98269,0.2731,0.09393,0.00046,0.09133,0.00589,0,0.0033,0.0001288,0.0001288,0.0001288
46,1177.81,0.23548,0.06768,0.00243,0.08613,0.00565,0,0.00308,0.99961,0.99838,0.995,0.9413,0.99861,0.99738,0.9941,0.98677,0.29175,0.98322,0.25189,0.09112,0.00043,0.08431,0.0054,0,0.0033,0.000109,0.000109,0.000109
47,1203.25,0.20986,0.0626,0.00051,0.07148,0.00496,0,0.00293,0.9997,0.99376,0.995,0.93517,0.9987,0.99276,0.99424,0.98646,0.28983,0.98383,0.26315,0.08794,0.00044,0.08694,0.0056,0,0.00328,8.92e-05,8.92e-05,8.92e-05
48,1268.44,0.20518,0.06477,0.00143,0.07118,0.00486,0,0.003,0.99946,1,0.995,0.94428,0.99847,0.999,0.99416,0.98652,0.2891,0.98234,0.25012,0.09067,0.00041,0.07823,0.00542,0,0.00327,6.94e-05,6.94e-05,6.94e-05
49,1333.28,0.21628,0.07017,0.00062,0.07513,0.00522,0,0.00308,0.999,1,0.995,0.93861,0.99801,0.999,0.99436,0.98705,0.28825,0.98234,0.26924,0.08983,0.00041,0.08496,0.00575,0,0.00325,4.96e-05,4.96e-05,4.96e-05
50,1397.38,0.20618,0.06342,0.00232,0.07395,0.00495,0,0.00297,0.9936,0.99763,0.99495,0.942,0.9926,0.99663,0.99428,0.98628,0.28745,0.98295,0.25145,0.08964,0.00042,0.08258,0.00543,0,0.00324,2.98e-05,2.98e-05,2.98e-05
